회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
동원금속,018500,자동차 신품 부품 제조업,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매",1995-11-10,KOSPI,018500.KS
성안머티리얼스,011300,직물직조 및 직물제품 제조업,"제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입",1995-11-10,KOSPI,011300.KS
HMM,011200,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,KOSPI,011200.KS
경인양행,012610,기초 화학물질 제조업,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입",1995-10-05,KOSPI,012610.KS
풀무원,017810,기타 식품 제조업,"두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출",1995-10-05,KOSPI,017810.KS
서울도시가스,017390,연료용 가스 제조 및 배관공급업,"도시가스공급,가스공급설비공사",1995-08-18,KOSPI,017390.KS
이구산업,025820,1차 비철금속 제조업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대",1995-08-18,KOSPI,025820.KS
에넥스,011090,가구 제조업,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매",1995-07-08,KOSPI,011090.KS
에이프로젠,007460,기타 금속 가공제품 제조업,"단열장치,철구조물,가열로,특수단열재(금속표면경화육성,원자로용) 제조/단열공사/부동산 임대",1995-07-08,KOSPI,007460.KS
제이준코스메틱,025620,기타 화학제품 제조업,화장품 제조 판매,1995-07-08,KOSPI,025620.KS
한국카본,017960,"구조용 금속제품, 탱크 및 증기발생기 제조업","탄소섬유(카본프리프레그(낚시대,테니스라켓,골프 Shaft,스포츠레저용품)),합성수지,글라스페이퍼,LNG선박용 단열판넬 제조,도매",1995-07-08,KOSPI,017960.KS
KPX케미칼,025000,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",1994-12-27,KOSPI,025000.KS
TP,007980,봉제의복 제조업,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역",1994-12-27,KOSPI,007980.KS
에스엠벡셀,010580,자동차 신품 부품 제조업,"자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조",1994-12-27,KOSPI,010580.KS
KC그린홀딩스,009440,기타 금융업,기타금융업,1994-11-05,KOSPI,009440.KS
문배철강,008420,1차 철강 제조업,"철강재중 판재류(후판,박판,무늬강판) 제조,도매",1994-11-05,KOSPI,008420.KS
웅진,016880,회사 본부 및 경영 컨설팅 서비스업,"교육서비스(웅진아이큐,중.고교학습,어린이마을),도서,잡지 출판/부동산 임대/인터넷관련사업",1994-11-05,KOSPI,016880.KS
HL D&I,014790,토목 건설업,"토목,건축,전기,환경사업,준설공사,포장공사,주택,중기임대",1994-08-12,KOSPI,014790.KS
오뚜기,007310,기타 식품 제조업,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",1994-08-12,KOSPI,007310.KS
일정실업,008500,편조원단 제조업,"자동차시트원단,의류,완구직물 제조,염색가공",1994-08-12,KOSPI,008500.KS
엘에스일렉트릭,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",1994-07-11,KOSPI,010120.KS
대양금속,009190,1차 철강 제조업,스테인레스 냉연강판 제조,1994-04-29,KOSPI,009190.KS
이화산업,000760,기타 전문 도매업,"염료(반응성염료,분산염료,범용염료,직접염료,산성염료),염료화성품,합성수지,고무 도매,제조",1994-04-29,KOSPI,000760.KS
동원시스템즈,014820,플라스틱제품 제조업,포장용 플라스틱제품 제조 외,1994-03-29,KOSPI,014820.KS
삼성중공업,010140,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업",1994-01-28,KOSPI,010140.KS
모토닉,009680,자동차 신품 부품 제조업,"자동차용 부품(연료펌프,LPI SYSTEM, FCEV) 제조,판매",1994-01-14,KOSPI,009680.KS
화신,010690,자동차 신품 부품 제조업,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조",1994-01-14,KOSPI,010690.KS
삼화페인트공업,000390,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,KOSPI,000390.KS
경동나비엔,009450,가정용 기기 제조업,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매",1993-08-31,KOSPI,009450.KS
DB,012030,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,KOSPI,012030.KS
SGC에너지,005090,전기업,"증기, 전기, REC(신재생에너지공급인증서)",1993-01-06,KOSPI,005090.KS
대림바스,005750,"내화, 비내화 요업제품 제조업","위생도기,내장타일,조립식욕실제품 제조,판매/부동산 임대",1992-12-23,KOSPI,005750.KS
대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점",1992-04-23,KOSPI,005880.KS
휴니드테크놀러지스,005870,통신 및 방송 장비 제조업,"무선통신기기,군납용무전기,위성방송수신기 제조",1991-09-03,KOSPI,005870.KS
수산세보틱스,017550,특수 목적용 기계 제조업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매",1991-08-30,KOSPI,017550.KS
롯데케미칼,011170,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",1991-05-30,KOSPI,011170.KS
세아베스틸지주,001430,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",1991-03-12,KOSPI,001430.KS
호텔신라,008770,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업",1991-03-12,KOSPI,008770.KS
태경비케이,014580,"시멘트, 석회, 플라스터 및 그 제품 제조업","생석회,소석회,석회비료 제조,판매/비금속광물 광업/산업폐기물 재생처리/휴게소 운영",1991-03-07,KOSPI,014580.KS
화승코퍼레이션,013520,자동차 신품 부품 제조업,"산업용 고무제품(호스시트,벨트,펜더 등) 제조, 판매",1991-02-22,KOSPI,013520.KS
신흥,004080,기계장비 및 관련 물품 도매업,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대",1991-02-08,KOSPI,004080.KS
화승인더스트리,006060,상품 종합 도매업,"포장용 합성수지 제조/신발,필름 판매/부동산 임대",1991-02-04,KOSPI,006060.KS
극동유화,014530,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",1991-01-31,KOSPI,014530.KS
고려산업,002140,"곡물가공품, 전분 및 전분제품 제조업","배합사료,플라스틱용기 제조/부동산 임대",1991-01-14,KOSPI,002140.KS
대현,016090,봉제의복 제조업,"여성의류 및 악세사리류 제조,도매,유통(백화점)",1990-09-20,KOSPI,016090.KS
케이비아이동국실업,001620,자동차 신품 부품 제조업,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대",1990-09-15,KOSPI,001620.KS
광명전기,017040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,가스절연개폐장치,빌딩자동화시스템,중앙감시반,자동제어반 제조,도소매,무역",1990-09-14,KOSPI,017040.KS
부산산업,011390,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘 제조,판매",1990-09-14,KOSPI,011390.KS
STX,011810,상품 종합 도매업,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매",1990-09-12,KOSPI,011810.KS
고려아연,010130,1차 비철금속 제조업,"연,아연괴 제조,판매",1990-07-28,KOSPI,010130.KS
팜젠사이언스,004720,의약품 제조업,의약품 외,1990-06-15,KOSPI,004720.KS
무림페이퍼,009200,"펄프, 종이 및 판지 제조업","지류,아트지,백상지 제조",1990-06-09,KOSPI,009200.KS
현대차증권,001500,금융 지원 서비스업,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",1990-06-09,KOSPI,001500.KS
금비,008870,유리 및 유리제품 제조업,"유리제품(주류병) 제조/화장품 도소매,수입(병제조기기)",1990-06-08,KOSPI,008870.KS
대동전자,008110,통신 및 방송 장비 제조업,"통신음향,전자기계기구용 플라스틱제품 제조,도매",1990-06-05,KOSPI,008110.KS
원림,005820,직물직조 및 직물제품 제조업,"고무,플라스틱제품,산업용포장재,PP.BAG,타포린 제조,도매/부동산 임대/주택 신축,판매/인터넷 정보통신/벤처회사 투자",1990-04-20,KOSPI,005820.KS
서흥,008490,기타 화학제품 제조업,"의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매",1990-03-27,KOSPI,008490.KS
성문전자,014910,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",1990-03-24,KOSPI,014910.KS
HLB글로벌,003580,종합 소매업,"모래 및 자갈 채취업,콤부차,그린월,화장품,신약개발 등",1990-03-23,KOSPI,003580.KS
일진홀딩스,015860,기타 금융업,"전기산업용기기(개폐기,차단기,배전반),자동화시스템,자동차엔진부품,절연전선,금구류,고압선,저압선 제조,판매/전기공사,가스절연차단기",1990-03-22,KOSPI,015860.KS
대영포장,014160,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조",1990-03-06,KOSPI,014160.KS
영화금속,012280,자동차 신품 부품 제조업,"자동차부품,건축자재(관이음쇠) 제조,판매",1990-01-25,KOSPI,012280.KS
신풍제약,019170,의약품 제조업,"의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매",1990-01-20,KOSPI,019170.KS
동성제약,002210,의약품 제조업,"의약품,화장품 제조,도매",1990-01-19,KOSPI,002210.KS
아센디오,012170,"영화, 비디오물, 방송프로그램 제작 및 배급업",석탄(점결탄) 판매,1989-12-20,KOSPI,012170.KS
한올바이오파마,009420,의약품 제조업,"의약품 제조,도매/부동산 임대",1989-12-18,KOSPI,009420.KS
유니켐,011330,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대",1989-12-14,KOSPI,011330.KS
대창,012800,1차 비철금속 제조업,"황동봉,동합금괴 제조,판매",1989-12-05,KOSPI,012800.KS
국보,001140,도로 화물 운송업,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역",1989-12-02,KOSPI,001140.KS
일성건설,013360,토목 건설업,"건축공사,토목공사,전기공사",1989-12-02,KOSPI,013360.KS
까뮤이앤씨,013700,건물 건설업,"토목공사,건축공사/부동산 임대",1989-11-30,KOSPI,013700.KS
보락,002760,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",1989-11-30,KOSPI,002760.KS
선도전기,007610,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",1989-11-30,KOSPI,007610.KS
씨아이테크,004920,영상 및 음향기기 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매",1989-11-30,KOSPI,004920.KS
광동제약,009290,의약품 제조업,"의약품,식음료 제조,도매",1989-11-17,KOSPI,009290.KS
갤럭시아에스엠,011420,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고",1989-11-14,KOSPI,011420.KS
남성,004270,기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대",1989-11-14,KOSPI,004270.KS
KISCO홀딩스,001940,1차 철강 제조업,지주사업,1989-11-13,KOSPI,001940.KS
태영건설,009410,토목 건설업,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매",1989-11-13,KOSPI,009410.KS
한국특강,007280,1차 철강 제조업,"철강압연제품(앵글,이형형강,평철,환봉) 제조,판매",1989-11-13,KOSPI,007280.KS
한솔로지스틱스,009180,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점",1989-11-13,KOSPI,009180.KS
삼양통상,002170,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",1989-11-10,KOSPI,002170.KS
SK텔레콤,017670,전기 통신업,"이동전화,무선호출서비스,부가통신",1989-11-07,KOSPI,017670.KS
진양폴리우레탄,010640,플라스틱제품 제조업,"폴리우레탄,폴리우레탄스폰지 제조,판매",1989-09-30,KOSPI,010640.KS
미창석유공업,003650,석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",1989-09-27,KOSPI,003650.KS
삼익THK,004380,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",1989-09-26,KOSPI,004380.KS
미원상사,002840,기타 화학제품 제조업,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조",1989-09-25,KOSPI,002840.KS
서연,007860,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",1989-09-09,KOSPI,007860.KS
세우글로벌,013000,기타 전문 도매업,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",1989-09-05,KOSPI,013000.KS
현대모비스,012330,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",1989-09-05,KOSPI,012330.KS
KG케미칼,001390,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",1989-08-25,KOSPI,001390.KS
아진전자부품,009320,자동차 신품 부품 제조업,자동차 전장부품,1989-08-25,KOSPI,009320.KS
현대해상,001450,보험업,손해보험(자동차보험),1989-08-25,KOSPI,001450.KS
현대지에프홀딩스,005440,기타 금융업,"백화점,여행알선,숙박,음식점/부동산 임대",1989-08-22,KOSPI,005440.KS
한국전력공사,015760,전기업,"전력자원개발,발전,송전,전력용기자재확보",1989-08-10,KOSPI,015760.KS
국도화학,007690,기초 화학물질 제조업,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",1989-08-05,KOSPI,007690.KS
녹십자,006280,의약품 제조업,"알부민외 제조,판매",1989-08-01,KOSPI,006280.KS
SIMPAC,009160,1차 철강 제조업,"프레스, 합금철",1989-07-29,KOSPI,009160.KS
윌비스,008600,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",1989-07-28,KOSPI,008600.KS
대창단조,015230,자동차 신품 부품 제조업,"자동차,중장비 부품(크랭크샤프트,트랙링크조립체,커넥팅로드,중장비롤러류),기어,동력전달장치,단조가공품,단조품 제조",1989-07-25,KOSPI,015230.KS
사조산업,007160,수산물 가공 및 저장 처리업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매",1989-07-25,KOSPI,007160.KS
한익스프레스,014130,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",1989-07-25,KOSPI,014130.KS
사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업","제분, 배합사료 제조",1989-06-24,KOSPI,008040.KS
경인전자,009140,전자부품 제조업,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",1989-06-20,KOSPI,009140.KS
무림P&P,009580,"펄프, 종이 및 판지 제조업","표백화학펄프(B.K.P) 제조,목재가공,조림사업",1989-06-20,KOSPI,009580.KS
인디에프,014990,봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",1989-06-20,KOSPI,014990.KS
한솔피엔에스,010420,기타 전문 도매업,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매",1989-05-31,KOSPI,010420.KS
디와이,013570,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조",1989-05-30,KOSPI,013570.KS
방림,003610,직물직조 및 직물제품 제조업,"P/C혼방직물,면방적,각종사류,직물류 제조,도소매",1989-05-30,KOSPI,003610.KS
DKME,015590,일반 목적용 기계 제조업,"열교환기,압력용기,저장탱크,산업용보일러 제조",1989-05-27,KOSPI,015590.KS
한솔케미칼,014680,기초 화학물질 제조업,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",1989-05-20,KOSPI,014680.KS
퍼스텍,010820,무기 및 총포탄 제조업,"방위산업제품,프린터,불소화합물,자동차용 매트 제조/얼굴인식시스템 개발",1989-05-10,KOSPI,010820.KS
동원산업,006040,기타 금융업,지주회사,1989-03-07,KOSPI,006040.KS
대덕,008060,기타 금융업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조",1989-01-26,KOSPI,008060.KS
한성기업,003680,수산물 가공 및 저장 처리업,"냉동식품,햄제품 제조,도매,보관/원양어업",1989-01-26,KOSPI,003680.KS
이스타코,015020,부동산 임대 및 공급업,부동산 분양/입시학원 운영,1988-12-23,KOSPI,015020.KS
태림포장,011280,"골판지, 종이 상자 및 종이용기 제조업","골판지,골판지상자,수출용박스 제조,도매/인쇄",1988-12-20,KOSPI,011280.KS
아세아제지,002310,"골판지, 종이 상자 및 종이용기 제조업","골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",1988-12-15,KOSPI,002310.KS
화천기계,010660,특수 목적용 기계 제조업,"선반,밀링,연삭기,CNC선반,CNC밀링,머시닝센타 제조,판매/자동차부품(실린더블럭) 제조",1988-12-12,KOSPI,010660.KS
CJ씨푸드,011150,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,KOSPI,011150.KS
SHD,001770,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,KOSPI,001770.KS
조일알미늄,018470,1차 비철금속 제조업,"알루미늄판 제조,도매",1988-11-22,KOSPI,018470.KS
에스엘,005850,자동차 신품 부품 제조업,"자동차부품(자동차램프, 전동화부품, 전자부품) 제조, 판매",1988-11-08,KOSPI,005850.KS
영원무역홀딩스,009970,기타 금융업,"스포츠의류(등산복,운동복,스키복) 도소매,수출,섬유봉제",1988-11-07,KOSPI,009970.KS
더존비즈온,012510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",응용 소프트웨어 개발 및 공급업,1988-10-28,KOSPI,012510.KS
보령,003850,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",1988-10-24,KOSPI,003850.KS
이건산업,008250,나무제품 제조업,"컨테이너용합판,목재 파렛트,프레스우드 파렛트,가공목재,제재목 제조/부동산 임대",1988-10-21,KOSPI,008250.KS
모나리자,012690,기타 종이 및 판지 제품 제조업,"화장지,미용티슈 제조,도매",1988-10-14,KOSPI,012690.KS
대구백화점,006370,종합 소매업,"백화점운영,임대사업(백화점 코너)",1988-10-10,KOSPI,006370.KS
우성,006980,"곡물가공품, 전분 및 전분제품 제조업","배합사료,Suit-feed(맞춤 TMR(육성우,건유우,착유우) 사료),농후사료,곡류(강피류 등 부산물) 제조,판매/부동산 임대,무역",1988-10-10,KOSPI,006980.KS
유성기업,002920,자동차 신품 부품 제조업,"철도차량부품(피스턴링,실린더라이너,발브가이드,타펫트),자동차부품,주강,주물 제조,판매",1988-10-10,KOSPI,002920.KS
한일철강,002220,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",1988-10-07,KOSPI,002220.KS
삼익악기,002450,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1988-09-30,KOSPI,002450.KS
HS화성,002460,건물 건설업,아파트 건설,1988-09-29,KOSPI,002460.KS
DN오토모티브,007340,일차전지 및 이차전지 제조업,자동차용 밧데리,1988-09-24,KOSPI,007340.KS
보해양조,000890,알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",1988-09-23,KOSPI,000890.KS
상상인증권,001290,금융 지원 서비스업,유가증권 매매,1988-09-23,KOSPI,001290.KS
혜인,003010,기계장비 및 관련 물품 도매업,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",1988-09-20,KOSPI,003010.KS
금강공업,014280,1차 철강 제조업,"건설가설재,강관,거푸집 제조,판매",1988-09-10,KOSPI,014280.KS
플레이그램,009810,기타 전문 도매업,"MRO, 영상콘텐츠",1988-08-31,KOSPI,009810.KS
율촌화학,008730,플라스틱제품 제조업,"연포장재,필름,골판지상자,합성수지,플라스틱일반성형제품 제조",1988-08-30,KOSPI,008730.KS
신원,009270,봉제의복 제조업,"여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업",1988-08-24,KOSPI,009270.KS
동방,004140,기타 운송관련 서비스업,"육상운송,해상운송,항만화물하역,보관,창고,물류사업",1988-08-10,KOSPI,004140.KS
한국쉘석유,002960,석유 정제품 제조업,"윤활유,그리스 제조,도매",1988-08-10,KOSPI,002960.KS
부광약품,003000,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",1988-08-05,KOSPI,003000.KS
풍산홀딩스,005810,기타 금융업,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",1988-07-28,KOSPI,005810.KS
부국증권,001270,금융 지원 서비스업,"유가증권 매매,위탁매매,인수,주선",1988-07-19,KOSPI,001270.KS
계양전기,012200,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신 등), 엔진, 자동차용 모터 제조",1988-07-06,KOSPI,012200.KS
한솔테크닉스,004710,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",1988-07-06,KOSPI,004710.KS
DB증권,016610,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,KOSPI,016610.KS
한미사이언스,008930,기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",1988-06-20,KOSPI,008930.KS
삼진제약,005500,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배",1988-06-18,KOSPI,005500.KS
POSCO홀딩스,005490,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조",1988-06-10,KOSPI,005490.KS
범양건영,002410,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,KOSPI,002410.KS
파미셀,005690,기초 의약물질 제조업,"줄기세포치료제,화장품",1988-05-20,KOSPI,005690.KS
동국홀딩스,001230,기타 금융업,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",1988-05-09,KOSPI,001230.KS
대원전선,006340,절연선 및 케이블 제조업,"전선,통신케이블,무선통신장비,합성수지 제조,도매/부동산 매매,임대",1988-05-04,KOSPI,006340.KS
이수화학,005950,기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",1988-04-28,KOSPI,005950.KS
삼성증권,016360,금융 지원 서비스업,"유가증권의 매매,위탁매매,인수주선",1988-03-28,KOSPI,016360.KS
삼영무역,002810,기타 전문 도매업,"화공약품, 안경렌즈",1988-03-28,KOSPI,002810.KS
한양증권,001750,금융 지원 서비스업,증권업,1988-03-04,KOSPI,001750.KS
금호석유화학,011780,기초 화학물질 제조업,"합성고무 SBR(스티렌부타디엔러버),BR(폴리부타디엔러버),합성수지,BD,라텍스 제조,도소매",1988-01-22,KOSPI,011780.KS
유안타증권,003470,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",1988-01-21,KOSPI,003470.KS
제일파마홀딩스,002620,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",1988-01-20,KOSPI,002620.KS
에이엔피,015260,전자부품 제조업,"전자부품(인쇄회로기판),무정전 전원공급장치 제조",1988-01-18,KOSPI,015260.KS
한창제지,009460,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",1987-12-23,KOSPI,009460.KS
넥센,005720,고무제품 제조업,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",1987-12-19,KOSPI,005720.KS
삼성공조,006660,자동차 신품 부품 제조업,"자동차부품(라디에터,오일쿨러) 제조,판매",1987-11-28,KOSPI,006660.KS
세방전지,004490,일차전지 및 이차전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",1987-11-28,KOSPI,004490.KS
진원생명과학,011000,의약품 제조업,플라스미드,1987-11-16,KOSPI,011000.KS
참엔지니어링,009310,특수 목적용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매),1987-11-12,KOSPI,009310.KS
한국무브넥스,010100,자동차 신품 부품 제조업,"자동차부품(제동,구동장치),프랜지(관이음쇠),철구조물,산업기계 제조",1987-10-02,KOSPI,010100.KS
코스모신소재,005070,기타 화학제품 제조업,"이차전지양극활물질,기능성필름",1987-09-28,KOSPI,005070.KS
덕성,004830,플라스틱제품 제조업,"플라스틱레쟈,합성수지,합성피혁 제조,도매",1987-09-25,KOSPI,004830.KS
신영증권,001720,금융 지원 서비스업,증권업,1987-08-24,KOSPI,001720.KS
유진증권,001200,금융 지원 서비스업,"유가증권 매매,중개,인수",1987-08-24,KOSPI,001200.KS
유화증권,003460,금융 지원 서비스업,증권업,1987-08-24,KOSPI,003460.KS
한신기계공업,011700,일반 목적용 기계 제조업,"공기압축기,공구류 제조,판매/오파",1987-07-24,KOSPI,011700.KS
코스모화학,005420,기타 화학제품 제조업,"이산화티타늄 및 부산물, 황산코발트 및 부산물",1987-07-23,KOSPI,005420.KS
가온전선,000500,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",1987-06-08,KOSPI,000500.KS
S-Oil,010950,석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",1987-05-27,KOSPI,010950.KS
한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업","항공기엔진,특수방산장비 제조/정비사업",1987-05-27,KOSPI,012450.KS
삼화전자공업,011230,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",1987-05-25,KOSPI,011230.KS
현대제철,004020,1차 철강 제조업,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매",1987-05-23,KOSPI,004020.KS
써니전자,004770,전자부품 제조업,"수정진동자,수정발진기,초음파지연선,MCF,축수나사 제조,도매,수출입",1987-04-22,KOSPI,004770.KS
현대비앤지스틸,004560,1차 철강 제조업,"스텐레스냉연강판,특수강 제조",1987-03-24,KOSPI,004560.KS
사조오양,006090,수산물 가공 및 저장 처리업,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대",1986-12-24,KOSPI,006090.KS
한화투자증권,003530,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",1986-11-25,KOSPI,003530.KS
삼화전기,009470,전자부품 제조업,"콘덴서 제조,판매",1986-11-24,KOSPI,009470.KS
SK증권,001510,금융 지원 서비스업,"증권업,부동산 임대",1986-09-20,KOSPI,001510.KS
