company_name,stock_code,market,ticker
강원랜드,035250,KOSPI,035250.KS
강원에너지,114190,KOSDAQ,114190.KQ
갤럭시아머니트리,094480,KOSDAQ,094480.KQ
갤럭시아에스엠,011420,KOSPI,011420.KS
경남스틸,039240,KOSDAQ,039240.KQ
경남제약,053950,KOSDAQ,053950.KQ
경농,002100,KOSPI,002100.KS
경동나비엔,009450,KOSPI,009450.KS
경동도시가스,267290,KOSPI,267290.KS
경동인베스트,012320,KOSPI,012320.KS
경동제약,011040,KOSDAQ,011040.KQ
경방,000050,KOSPI,000050.KS
경보제약,214390,KOSPI,214390.KS
경인양행,012610,KOSPI,012610.KS
경인전자,009140,KOSPI,009140.KS
경창산업,024910,KOSDAQ,024910.KQ
계룡건설,013580,KOSPI,013580.KS
계양전기우,012205,KOSPI,012205.KS
계양전기,012200,KOSPI,012200.KS
고려산업,002140,KOSPI,002140.KS
고려신용정보,049720,KOSDAQ,049720.KQ
고려아연,010130,KOSPI,010130.KS
고려제강,002240,KOSPI,002240.KS
고려제약,014570,KOSDAQ,014570.KQ
고바이오랩,348150,KOSDAQ,348150.KQ
고스트스튜디오,950190,KOSDAQ,950190.KQ
고영,098460,KOSDAQ,098460.KQ
골드앤에스,035290,KOSDAQ,035290.KQ
골프존,215000,KOSDAQ GLOBAL,215000.KQ
골프존홀딩스,121440,KOSDAQ,121440.KQ
공구우먼,366030,KOSDAQ,366030.KQ
광동제약,009290,KOSPI,009290.KS
광림,014200,KOSDAQ,014200.KQ
광명전기,017040,KOSPI,017040.KS
광무,029480,KOSDAQ,029480.KQ
광전자,017900,KOSPI,017900.KS
광주신세계,037710,KOSPI,037710.KS
광진실업,026910,KOSDAQ,026910.KQ
교보14호스팩,456490,KOSDAQ,456490.KQ
교보15호스팩,465320,KOSDAQ,465320.KQ
교보16호스팩,482520,KOSDAQ,482520.KQ
교보17호스팩,489210,KOSDAQ,489210.KQ
교보증권,030610,KOSPI,030610.KS
교촌에프앤비,339770,KOSPI,339770.KS
구영테크,053270,KOSDAQ,053270.KQ
국도화학,007690,KOSPI,007690.KS
국보디자인,066620,KOSDAQ,066620.KQ
국보,001140,KOSPI,001140.KS
국순당,043650,KOSDAQ,043650.KQ
국영지앤엠,006050,KOSDAQ,006050.KQ
국일신동,060480,KOSDAQ,060480.KQ
국일제지,078130,KOSDAQ,078130.KQ
국전약품,307750,KOSDAQ,307750.KQ
국제약품,002720,KOSPI,002720.KS
그래디언트,035080,KOSDAQ,035080.KQ
GKL,114090,KOSPI,114090.KS
GRT,900290,KOSDAQ,900290.KQ
그리드위즈,453450,KOSDAQ,453450.KQ
그리티,204020,KOSDAQ,204020.KQ
그린리소스,402490,KOSDAQ,402490.KQ
